Date;Price
04/20/2023;7538.71
04/19/2023;7549.44
04/18/2023;7533.63
04/17/2023;7498.18
04/14/2023;7519.61
04/13/2023;7480.83
04/12/2023;7396.94
04/11/2023;7390.28
04/06/2023;7324.75
04/05/2023;7316.30
04/04/2023;7344.96
04/03/2023;7345.96
03/31/2023;7322.39
03/30/2023;7263.37
03/29/2023;7186.99
03/28/2023;7088.34
03/27/2023;7078.27
03/24/2023;7015.10
03/23/2023;7139.25
03/22/2023;7131.12
03/21/2023;7112.91
03/20/2023;7013.14
03/17/2023;6925.40
